,숙소,상세페이지,주소,숙소상세정보,숙소태그,상세정보 html
0,더잭슨나인스호텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a7c242b4-2853-4ee8-bde2-38e40c4ffc0a,강원도 춘천시 중앙로 193,"더잭슨나인스호텔은 춘천 공지천 사거리에 자리한 지하 4층, 지상 16층 규모의 대형 호텔이다. 공지천과 의암호가 코앞에 있어 호텔에 머무는 것만으로도 호반의 도시, 춘천다운 면모를 느낄 수 있다. 390여 개 객실은 스탠다드 더블부터 프리미어 스위트까지 총 9개 타입으로 나뉜다. 패밀리 온돌을 제외한 모든 객실에 퀸 사이즈 침대를 비치하여 편안한 숙면을 보장한다. 스탠다드 더블‧스탠다드 트윈‧슈페리어 더블‧슈페리어 트윈 객실에서는 넓은 통유리창 너머로 춘천의 산수가 펼쳐지고, 자쿠지 스위트와 프리미어 스위트 객실에는 테라스에 야외 자쿠지를 두어 아늑하게 휴식을 취할 수 있다.공지천 물길을 바라보며 커피를 마실 수 있는 더 킹 카페, 아이들이 뛰어놀기 좋은 키덜트 파크이자 와인과 위스키를 판매하는 바인 2층의 더 몽상드, 땀을 뺄 수 있는 3층의 잭슨사우나, 편의점 등 웬만한 편의시설이 호텔 내에 모여 있는 점도 편리하다.   내용 더보",#강원숙소#강원추천숙소#강원춘천#강원품질인증숙소#더잭슨나인스호텔#숙박#숙소#아이와함께가기좋은#우수숙소#인증숙소#추천숙박#편의시설이많은#품질인증숙소#품질인증호텔#한국관광품질인증#한국관광품질인증업소 ,"<div class=""area_txtView bottom on"" style=""padding-bottom: 54px;"">
<div class=""inr_wrap"" style=""overflow: hidden; height: 150px;"">
<div class=""inr"">
<ul><li><strong>문의 및 안내</strong><span class=""mo""><a href=""tel:033-253-0000"">033-253-0000</a></span><span class=""pc"">033-253-0000</span></li><li><strong>홈페이지</strong><span><a href=""http://jacksonhotel.co.kr"" target=""_blank"" title=""새창 :더잭슨나인스호텔 홈페이지로 이동"">http://jacksonhotel.co.kr</a></span></li><li><strong>주소</strong><span>강원도 춘천시 중앙로 193</span></li><li><strong>주차</strong><span>가능</span></li><li><strong>수용인원</strong><span>1,000명</span></li><li><strong>입실시간</strong><span>15:00</span></li><li><strong>퇴실시간</strong><span>11:00</span></li><li><strong>객실내 취사 여부</strong><span>불가</span></li><li><strong>식음료장</strong><span>있음(더킹레스토랑, 더킹카페)</span></li><li><strong>픽업서비스</strong><span>불가능</span></li><li><strong>객실수</strong><span>391실</span></li><li><strong>예약안내</strong><span>전화, 홈페이지</span></li><li><strong>예약안내 홈페이지</strong><span><a href=""http://jacksonhotel.co.kr/room_reservation"" target=""_blank"" title=""새창 :더잭슨나인스호텔 홈페이지로 이동"">http://jacksonhotel.co.kr/room_reservation</a></span></li><li><strong>객실유형</strong><span>한실, 침실</span></li><li><strong>규모</strong><span>건물 지하 4층, 지상 16층</span></li><li><strong>부대시설</strong><span>더몽상드(키덜트파크), 잭슨 에스테틱</span></li><li><strong>뷰티시설여부</strong><span>있음</span></li><li><strong>휘트니스 센터 여부</strong><span>있음</span></li><li><strong>공용 PC실 여부</strong><span>있음</span></li><li><strong>사우나실 여부</strong><span>있음</span></li><li><strong>세미나실 여부</strong><span>있음</span></li><li><strong>점자블록</strong><span>점자안내(엘리베이터 내부), 점자블럭(엘리베이터 앞)</span></li><li><strong>지체장애 기타상세</strong><span>장애인용 객실, 장애인 주차구역(4면)</span></li><li><strong>장애인 주차 안내</strong><span>장애인 주차구역(4면)</span></li><li><strong>객실</strong><span>장애인용 객실</span></li></ul>
</div>
</div>
<div class=""cont_more""><button class=""btn_more"" title=""내용더보기"" type=""button""><span>닫기</span></button></div>
</div>"
1,스테이 앤드 스튜디오 여여재,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7e0856b9-31e8-4ab8-8f19-ef602fd109ca,충청남도 태안군 남면 몽대로 448,"스테이 앤드 스튜디오 여여재는 태안 몽산포항에서 1km 거리에 있는 붉은 벽돌의 복층 펜션이다. 364m² 규모의 건물에 객실은 단 5개. 그만큼 객실 크기가 넓고, 안락하게 쉴 수 있다. 신축 숙소로 세련된 인테리어와 깨끗한 시설은 기본. 객실에서 태안 바다가 보여 전망이 아름답다. 일부 객실에는 반려동물과 함께 머물 수 있다.5개 객실은 바다 전망에 복층 구조인 A동과 애견 동반 객실인 B동으로 나뉜다. A/1, A/2, A/3 객실은 노출 콘크리트의 멋을 살린 벽이 돋보인다. 테라스에서는 고요하게 밀려오는 바다를 바라볼 수 있다. 방이 2개인 B/5 객실은 4인 가족과 반려동물이 함께하기에 좋다. ‘Stay & Glamping’ 콘셉트로 꾸민 B/6 객실에는 넓은 발코니가 딸려 있어 글램핑도 가능하다. 걸어서 10분 거리에 있는 몽산포 해수욕장에서 바닷가 산책을 하다가 일몰을 감상하고, 바비큐장에서 바비큐를 즐겨도 좋다.   내용 더보",#바다가보이는#바비큐장이있는#반려동물과함께#반려동물동반품질인증업소#숙박#숙소#스테이앤드스튜디오여여재#여여재#우수숙소#인증숙소#충남숙소#충남추천숙소#충남태안#충남품질인증숙소#품질인증숙소#품질인증펜션#한국관광품질인증#한국관광품질인증업소 ,
2,주식회사제이스퀘어호텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fc227f2d-4fcc-4b6e-b929-1b669ccfff60,경상남도 진주시 솔밭로 107,"제이스퀘어호텔은 진주시청 맞은편에 있는 호텔이다. 건물의 1층부터 4층은 웨딩홀과 연회장이고, 호텔은 5층부터 10층에 자리한다.72개 객실은 스탠다드 더블, 스탠다드 트리플, 로얄 스위트 등 6개 타입으로 나뉜다. 눈에 띄는 점은 스탠다드 전 객실을 40㎡ 크기로 구성하여 공간이 유난히 넓고 쾌적하다는 점. ‘호텔 객실은 집을 떠난 집’이 되어야 한다는 원칙에 따라 객실 바닥도 강화마루로 마감하여 카펫 바닥보다 위생적인 환경을 연출했다. 그 결과, 하얀 거위털 침구와 강화마루 바닥재, 원목 인테리어가 어우러져 집처럼 편안하고 집보다 깔끔한 호텔이 되는 데 성공했다.부대시설 또한 흠잡을 데 없다. 한식, 양식, 과일, 샐러드 등으로 구성된 조식을 먹을 수 있는 6층 라운지, 고소한 커피 향이 잠을 깨우는 카페, 사우나, 피트니스 센터 등이 모여 있다.   내용 더보",#경남숙소#경남진주#경남추천숙소#경남품질인증숙소#맛있는조식이있는#숙박#숙소#우수숙소#인증숙소#주식회사제이스퀘어호텔#추천숙박#추천숙소#편의시설이많은#품질인증숙소#품질인증호텔#한국관광품질인증#한국관광품질인증업소 ,"<div class=""area_txtView bottom on"" style=""padding-bottom: 54px;"">
<div class=""inr_wrap"" style=""overflow: hidden; height: 150px;"">
<div class=""inr"">
<ul><li><strong>문의 및 안내</strong><span class=""mo""><a href=""tel:055-749-0022"">055-749-0022</a></span><span class=""pc"">055-749-0022</span></li><li><strong>홈페이지</strong><span><a href=""www.jsquarehotel.com"" target=""_blank"" title=""새창 :주식회사제이스퀘어호텔 홈페이지로 이동"">www.jsquarehotel.com</a></span></li><li><strong>주소</strong><span>경상남도 진주시 솔밭로 107</span></li><li><strong>주차</strong><span>가능(지상, 지하주차장)</span></li><li><strong>수용인원</strong><span>160명</span></li><li><strong>입실시간</strong><span>15:00</span></li><li><strong>퇴실시간</strong><span>11:00</span></li><li><strong>객실내 취사 여부</strong><span>불가능</span></li><li><strong>식음료장</strong><span>있음(제이스퀘어 라운지, 더 웨이닝 커피)</span></li><li><strong>픽업서비스</strong><span>불가능</span></li><li><strong>객실수</strong><span>72실</span></li><li><strong>예약안내</strong><span>전화, 홈페이지</span></li><li><strong>예약안내 홈페이지</strong><span><a href=""www.jsquarehotel.com/reserve.php"" target=""_blank"" title=""새창 :주식회사제이스퀘어호텔 홈페이지로 이동"">www.jsquarehotel.com/reserve.php</a></span></li><li><strong>객실유형</strong><span>침실, 한실</span></li><li><strong>규모</strong><span>건물 지하 3층~ 지상 10층(지상1층~4층은 웨딩홀 및 연회장으로 운영 중)</span></li><li><strong>부대시설</strong><span>미용/드레스실</span></li><li><strong>휘트니스 센터 여부</strong><span>있음</span></li><li><strong>사우나실 여부</strong><span>있음</span></li><li><strong>세미나실 여부</strong><span>있음</span></li><li><strong>점자블록</strong><span>점자안내(엘리베이터 내부)</span></li><li><strong>접근로</strong><span>로비 앞 경사로 설치</span></li><li><strong>화장실</strong><span>장애인 화장실</span></li><li><strong>객실</strong><span>장애인 객실</span></li></ul>
</div>
</div>
<div class=""cont_more""><button class=""btn_more"" title=""내용더보기"" type=""button""><span>닫기</span></button></div>
</div>"
3,뉴라온스테이,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e6507a5a-5d19-4794-b2b7-ab726afebd71,경상남도 진주시 영천강로 166,"뉴라온스테이는 경남진주혁신도시의 공공기관과 걸어서 5~10분 거리에 위치, 비즈니스 고객이 많이 찾는 호텔이다. ‘문화가 있는 호텔’이라는 콘셉트에 맞춰 로비와 객실에 미술 작품과 공예품을 비치, 예술적인 휴식을 누릴 수 있다. 호텔 전체를 매일 자체 방역하고, 전문업체를 통한 방역도 주기적으로 실시하여 위생에 대한 걱정도 덜었다.105개 객실은 스탠다드 더블, 스탠다드 트윈, 한실 더블, 라온 스위트 등 6개 타입으로 구성되어 있다. 채도 낮은 벽에 감각적인 그림을 건 객실은 차분한 분위기이고, 최고급 거위털 침구를 써 잠자리도 편안하다. 한국적인 감성을 담은 한실 더블‧한실 스위트는 부모님을 모신 가족 투숙객에게 알맞고, 라온 스위트에는 바비큐와 제트스파를 즐길 수 있는 전용 테라스가 딸려 있어 차별화된 휴식을 선사한다.호텔 2층의 더 테이블은 아침과 점심 식사를 뷔페식으로 제공하고, 호텔 맞은편에 큰 쇼핑센터와 영화관이 있어 여러모로 편리하다.",#경남숙소#경남진주#경남추천숙소#경남품질인증숙소#뉴라온스테이#대중교통으로갈수있는#맛있는조식이있는#비즈니스여행에굳#숙박#숙소#우수숙소#인증숙소#추천숙박#추천숙소#품질인증숙소#품질인증호텔#한국관광품질인증#한국관광품질인증업소 ,"<div class=""area_txtView bottom on"" style=""padding-bottom: 54px;"">
<div class=""inr_wrap"" style=""overflow: hidden; height: 150px;"">
<div class=""inr"">
<ul><li><strong>문의 및 안내</strong><span class=""mo""><a href=""tel:055-751-1111"">055-751-1111</a></span><span class=""pc"">055-751-1111</span></li><li><strong>홈페이지</strong><span><a href=""www.raonstay2.com"" target=""_blank"" title=""새창 :뉴라온스테이 홈페이지로 이동"">www.raonstay2.com</a></span></li><li><strong>주소</strong><span>경상남도 진주시 영천강로 166</span></li><li><strong>주차</strong><span>가능</span></li><li><strong>수용인원</strong><span>240명</span></li><li><strong>입실시간</strong><span>15:00</span></li><li><strong>퇴실시간</strong><span>11:00</span></li><li><strong>객실내 취사 여부</strong><span>가능(라온 스위트룸 한정)</span></li><li><strong>식음료장</strong><span>있음(레스토랑 더 테이블, 카페)</span></li><li><strong>픽업서비스</strong><span>불가능</span></li><li><strong>객실수</strong><span>105실</span></li><li><strong>예약안내</strong><span>전화, 홈페이지</span></li><li><strong>예약안내 홈페이지</strong><span><a href=""http://ftp.g1soft.co.kr/5520/resv_step1.php"" target=""_blank"" title=""새창 :뉴라온스테이 홈페이지로 이동"">http://ftp.g1soft.co.kr/5520/resv_step1.php</a></span></li><li><strong>객실유형</strong><span>침실</span></li><li><strong>규모</strong><span>건물 지하 4층, 지상 14층</span></li><li><strong>부대시설</strong><span>비지니스센터</span></li><li><strong>점자블록</strong><span>점자안내(엘리베이터 내부), 점자블럭(호텔 입구)</span></li><li><strong>장애인 주차 안내</strong><span>장애인 주차구역</span></li><li><strong>화장실</strong><span>장애인 화장실(로비)</span></li><li><strong>객실</strong><span>장애인 객실</span></li></ul>
</div>
</div>
<div class=""cont_more""><button class=""btn_more"" title=""내용더보기"" type=""button""><span>닫기</span></button></div>
</div>"
4,하운드호텔 부산역점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ac7e1195-49ce-4bb7-a897-0529d4a548ed,부산광역시 동구 중앙대로236번길 9,"하운드호텔 부산역점은 부산 교통의 중심지에 위치한 호텔이다. 부산 지하철 1호선 부산역과 초량역 사이에 있고, KTX 부산역과 부산항국제여객터미널이 두루 가깝다. 이동의 편리함으로 뚜벅이 여행자를 만족시키는 것은 물론, 호텔 꼭대기의 루프탑에서 부산 여행의 낭만을 만끽할 수 있다.호텔은 “청결함을 최우선으로, 부산을 품은 뷰는 루프탑에서” 즐기도록 했다. 80여 개 전 객실에 세균 제거를 위해 바이러스 살균기를 설치했고, 의류 관리기인 스타일러를 비치했으며, 와이드스크린 TV로 넷플릭스를 볼 수 있다(개인 계정 이용). 객실은 스탠다드 더블, 디럭스 트윈, 온돌 패밀리, 스위트 듀플렉스 등 총 10개 타입. 디럭스 더블 테라스는 침실에 딸린 테라스에서 초량동 일대 풍경을 둘러볼 수 있고, 패밀리 스위트 트윈은 소파 공간이 널찍해 3인 가족에게 인기다. 12층의 루프탑은 호텔의 자랑거리. 투숙객이 무료로 이용할 수 있는 루프탑 수영장은 겨울에는 온수풀로 운영되어 사계절 내내 부산 도심을 파노라마 뷰로 즐길 수 있다.",#대중교통으로갈수있는#부산동구#부산숙소#부산추천숙소#부산품질인증숙소#수영장이있는#숙박#숙소#우수숙소#인증숙소#추천숙박#친구와함께#품질인증숙소#품질인증호텔#하운드호텔부산역점#한국관광품질인증#한국관광품질인증업소#호캉스에딱 ,"<div class=""area_txtView bottom on"" style=""padding-bottom: 54px;"">
<div class=""inr_wrap"" style=""overflow: hidden; height: 150px;"">
<div class=""inr"">
<ul><li><strong>문의 및 안내</strong><span class=""mo""><a href=""tel:051-464-2000"">051-464-2000, 2002</a></span><span class=""pc"">051-464-2000, 2002</span></li><li><strong>홈페이지</strong><span><a href=""https://houndhotelbusanstation.com"" target=""_blank"" title=""새창 :하운드호텔 부산역점 홈페이지로 이동"">houndhotelbusanstation.com</a></span></li><li><strong>주소</strong><span>부산광역시 동구 중앙대로236번길 9</span></li><li><strong>주차</strong><span>가능</span></li><li><strong>수용인원</strong><span>200명</span></li><li><strong>입실시간</strong><span>15:00</span></li><li><strong>퇴실시간</strong><span>12:00</span></li><li><strong>객실내 취사 여부</strong><span>불가능</span></li><li><strong>식음료장</strong><span>있음(Rooftop pool BAR &amp; Cafe, Rooftop Restaurant)</span></li><li><strong>픽업서비스</strong><span>불가능</span></li><li><strong>객실수</strong><span>83실</span></li><li><strong>예약안내</strong><span>전화, 홈페이지</span></li><li><strong>예약안내 홈페이지</strong><span><a href=""https://houndhotelbusanstation.com/?v=res_list"" target=""_blank"" title=""새창 :하운드호텔 부산역점 홈페이지로 이동"">https://houndhotelbusanstation.com/?v=res_list</a></span></li><li><strong>객실유형</strong><span>침실, 한실</span></li><li><strong>규모</strong><span>지상 12층</span></li><li><strong>부대시설</strong><span>루프탑 수영장, 파티룸</span></li><li><strong>점자블록</strong><span>점자블럭(엘리베이터 앞), 점자안내(엘리베이터 내부)</span></li><li><strong>장애인 주차 안내</strong><span>장애인 주차구역</span></li><li><strong>객실</strong><span>장애인용 객실</span></li></ul>
</div>
</div>
<div class=""cont_more""><button class=""btn_more"" title=""내용더보기"" type=""button""><span>닫기</span></button></div>
</div>"
5,하이오션경포,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b91fce1c-ee1f-4870-9798-6d35f8090293,강원도 강릉시 경포로463번길 30-5,"하이오션경포는 강릉 여행의 중심지인 경포해변과 경포호를 옆에 둔 호텔이다. 강릉의 바다와 호수를 품은 호텔은 전망이 유독 아름답다. 호텔에 머물러야 할 이유는 수려한 풍광에 그치지 않는다. 경포 최초의 숙박형 레지던스 호텔로서 객실 안에서 간단한 요리를 해 먹거나 세탁을 할 수 있다. 덕분에 강릉 여행객은 물론, 장단기 출장객의 방문이 잦다. 편의점과 음식점, 바깥 공기를 쐴 수 있는 2층의 테라스 가든, 경포호 일대가 내려다보이는 8층 루프탑 가든 등 편의시설도 다양해 투숙객의 안락함을 보장한다.132개 객실은 크게 슈페리어와 듀플렉스, 스위트로 나뉜다. 레이크뷰 객실에서는 잔잔한 경포호를 바라보다 잠들 수 있고, 듀플렉스 객실은 1층에 더블침대, 2층에 두꺼운 요가 놓여 있는 복층 구조다. 호텔 1층의 조식 식당 레스토랑 꼬모는 운영 시간이 넉넉하여 아침잠이 많은 여행자를 기다려준다.",#강릉숙소#강릉추천숙소#강릉품질인증숙소#강원강릉#객실내취사가능#비즈니스여행에굳#숙박#숙소#우수숙소#인증숙소#추천숙박#추천숙소#품질인증숙소#품질인증호텔#하이오션경포#한국관광품질인증#한국관광품질인증업소 ,"<div class=""area_txtView bottom on"" style=""padding-bottom: 54px;"">
<div class=""inr_wrap"" style=""overflow: hidden; height: 150px;"">
<div class=""inr"">
<ul><li><strong>문의 및 안내</strong><span class=""mo""><a href=""tel:033-646-9999"">033-646-9999</a></span><span class=""pc"">033-646-9999</span></li><li><strong>홈페이지</strong><span><a href=""http://hiocean.kr"" target=""_blank"" title=""새창 :하이오션경포 홈페이지로 이동"">http://hiocean.kr</a></span></li><li><strong>주소</strong><span>강원도 강릉시 경포로463번길 30-5</span></li><li><strong>주차</strong><span>가능</span></li><li><strong>수용인원</strong><span>350명</span></li><li><strong>입실시간</strong><span>15:00</span></li><li><strong>퇴실시간</strong><span>11:00</span></li><li><strong>객실내 취사 여부</strong><span>가능(간단한 취사)</span></li><li><strong>식음료장</strong><span>있음(Restaurant ‘COMO‘, 코로나19로 인해서 주말만 운영 중)</span></li><li><strong>픽업서비스</strong><span>불가능</span></li><li><strong>객실수</strong><span>132실</span></li><li><strong>예약안내</strong><span>전화, 홈페이지</span></li><li><strong>예약안내 홈페이지</strong><span><a href=""https://be4.wingsbooking.com/HOH1"" target=""_blank"" title=""새창 :하이오션경포 홈페이지로 이동"">https://be4.wingsbooking.com/HOH1</a></span></li><li><strong>객실유형</strong><span>침실, 한실</span></li><li><strong>규모</strong><span>건물 지하 1층, 지상 8층</span></li><li><strong>부대시설</strong><span>테라스가든(2층), 루프탑가든(8충), 편의점, 유아전동차대여점, 음식점(Chicken the home)</span></li><li><strong>점자블록</strong><span>점자안내(엘리베이터 내부)</span></li><li><strong>엘리베이터</strong><span>있음</span></li><li><strong>장애인 주차 안내</strong><span>장애인 주차구역</span></li><li><strong>화장실</strong><span>장애인 화장실(로비)</span></li><li><strong>객실</strong><span>장애인 객실</span></li></ul>
</div>
</div>
<div class=""cont_more""><button class=""btn_more"" title=""내용더보기"" type=""button""><span>닫기</span></button></div>
</div>"
6,호텔청담,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9200cbcc-ec42-4f69-b982-5e774992cae8,전라남도 목포시 비파로124번길 6,"호텔청담은 목포종합버스터미널에서 1km 남짓 떨어져 있어 접근성이 좋은 숙소다. 지하 1층, 지상 8층 규모의 숙소는 호텔급으로 재단장하여 쾌적한 시설을 자랑한다. 전 객실에 킹사이즈 침대를 갖췄고, 55인치 스마트TV로 넷플릭스와 유튜브를 볼 수 있는 점도 매력 포인트다.객실은 스탠다드 침대룸, 스탠다드 온돌룸, 특실 A룸, 특실 B룸, 패밀리룸, ‘VIP-단체, 가족, 파티룸’으로 나뉜다. 스탠다드 온돌룸은 매트리스 2개와 소파가 놓인 따뜻한 온돌방이고, 특실 B룸에는 침대와 컴퓨터가 2개씩 놓여 있다. V.I.P-단체, 가족, 파티룸은 넓은 거실을 중심으로 2개의 침실과 1개의 온돌방, 2개의 화장실로 구성, 공간의 면면이 시원스럽다.객실 내 마스크 걸이, 휴대폰과 마스크 등 소지품을 소독할 수 있는 살균기, 각종 비상약을 모아둔 상비약 함 등 주인장의 세심한 배려 또한 돋보인다.",#숙박#숙소#우수숙소#인증숙소#전남목포#전남숙소#전남추천숙소#전남품질인증숙소#추천숙박#추천숙소#품질인증숙소#품질인증호텔#한국관광품질인증#한국관광품질인증업소#호텔청담 ,
7,화담재,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fae7d231-0746-4604-b4ab-00f62d656d30,전라남도 강진군 성전면 달빛한옥길 3,화담재는 강진달빛한옥마을 입구에 자리한 한옥 펜션이다. 반려동물과 함께 머물 수 있어 더욱 반가운 집이다. 낮은 토담에 둘러싸인 숙소 문을 열면 너른 잔디 마당이 나타나고 한편에는 크고 작은 장독대가 늘어서 있다.정감 가는 풍경은 객실로도 이어진다. 총 4개의 아늑한 방은 모두 2~3명이 머물기 적당하다. 달빛 황토방은 특히 가을부터 초봄까지 인기다. 아궁이에 장작을 때서 불을 지피는 구들장 객실은 찜질방에 온 듯 온몸의 피로를 사르르 풀어준다. 방 전체를 편백으로 마감한 달빛 마루방은 하루만 자도 편백 향 때문에 머리가 맑아지는 기분이다. 이부자리는 매일 세탁하여 언제나 보송한 새 이불을 덮고 잠들 수 있다. 한옥 숙소인 만큼 한옥 체험프로그램도 다양하다. 도시에서 보기 힘든 아궁이를 둘러보거나 각종 전통놀이를 하다 보면 시간이 후딱 흐른다.,#반려동물과함께#반려동물동반품질인증업소#숙박#숙소#아이와함께가기좋은#우수숙소#인증숙소#전남강진#전남숙소#전남추천숙소#전남품질인증숙소#추천숙박#추천숙소#품질인증숙소#품질인증펜션#품질인증한옥#풍경이좋은#한국관광품질인증#한국관광품질인증업소#화담재 ,
8,휴휴당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b59e246f-d948-4b0e-9898-fb253685db2a,전라남도 강진군 성전면 달빛한옥길 42-3,"휴휴당은 강진달빛한옥마을에 자리한 한옥 민박집으로, 월출산을 품에 안은 풍광이 수려하다. “살어리 살어리랏다 / 청산에 살어리랏다 / 머루랑 다래랑 먹고 / 청산에 살어리랏다”, <청산별곡>의 한 구절을 새긴 숙소 입구의 팻말은 강진 자연의 아름다움과 한옥살이의 즐거움을 노래하는 듯하다.휴휴당은 다래방과 머루방, 두 개의 객실을 운영한다. 다래방은 아궁이에 장작을 넣어 불을 때는 구들방이고, 머루방은 원목 침대가 놓인 침실이다. 주인장이 손바느질로 한 땀 한 땀 정성스레 만든 침구가 제공되어 더욱 특별하다. 차실인 죽로지실에서는 기다란 다도 테이블에 8명 정도가 둘러앉아 차의 향을 음미할 수 있다. 차 맛을 더욱 돋우는 건 강진의 산수, 창밖으로 보이는 월출산 자락과 녹차 밭이 어우러진 풍경이 감탄을 부른다. 무료로 제공되는 한식 아침 식사 또한 훌륭하다.",#맛있는조식이있는#숙박#숙소#우수숙소#인증숙소#전남강진#전남숙소#전남추천숙소#추천숙박#추천숙소#품질인증숙소#품질인증한옥#풍경이좋은#한국관광품질인증#한국관광품질인증업소#휴휴당 ,"<div class=""area_txtView bottom on"" style=""padding-bottom: 54px;"">
<div class=""inr_wrap"" style=""overflow: hidden; height: 150px;"">
<div class=""inr"">
<ul><li><strong>문의 및 안내</strong><span class=""mo""><a href=""tel:010-6630-1507"">010-6630-1507</a></span><span class=""pc"">010-6630-1507</span></li><li><strong>홈페이지</strong><span><a href=""https://blog.naver.com/jylee6812"" target=""_blank"" title=""새창 :휴휴당 홈페이지로 이동"">https://blog.naver.com/jylee6812</a></span></li><li><strong>주소</strong><span>전라남도 강진군 성전면 달빛한옥길 42-3</span></li><li><strong>주차</strong><span>가능</span></li><li><strong>수용인원</strong><span>6명(아동포함)</span></li><li><strong>입실시간</strong><span>16:00</span></li><li><strong>퇴실시간</strong><span>11:00</span></li><li><strong>객실내 취사 여부</strong><span>불가능</span></li><li><strong>식음료장</strong><span>없음</span></li><li><strong>픽업서비스</strong><span>불가능</span></li><li><strong>객실수</strong><span>2실</span></li><li><strong>예약안내</strong><span>전화, 홈페이지</span></li><li><strong>예약안내 홈페이지</strong><span><a href=""https://blog.naver.com/jylee6812/221063899391"" target=""_blank"" title=""새창 :휴휴당 홈페이지로 이동"">https://blog.naver.com/jylee6812/221063899391</a></span></li><li><strong>객실유형</strong><span>한실, 침실</span></li><li><strong>규모</strong><span>단층 건물, 대지 면적 661m², 건물 면적 99m²</span></li><li><strong>부대시설</strong><span>외부화장실, 외부샤워실, 차실(죽로지실), 정자, 다락방</span></li></ul>
</div>
</div>
<div class=""cont_more""><button class=""btn_more"" title=""내용더보기"" type=""button""><span>닫기</span></button></div>
</div>"
9,서울한옥스테이(jnpstay),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bbf2821b-5d91-41e7-8350-ff8b1a9b8fd5,서울특별시 종로구 자하문로1나길 7-28,"서촌 골목에 자리한 서울한옥스테이는 서울 지하철 3호선 경복궁역에서 도보 5분 거리의 한옥 게스트하우스다. 네다섯 명이 한옥 전체를 단독으로 사용할 수 있어 가족 또는 친구들 모임 장소로 더할 나위 없다. ‘ㅁ’ 자형의 소담한 마당에는 테이블을 중심으로 아기자기한 화단과 키 큰 화분이 어우러져 있다. 처마를 따라 떨어지는 햇볕을 쬐거나, 제기차기‧윷놀이‧투호 같은 전통놀이에 도전하거나, 일행과 전기 그릴 바비큐를 즐기며 시간을 보내거나. 이 모든 일이 한옥 마당에서 가능하다.나무 본연의 색이 고운 한옥은 2인룸과 3인룸, 대청마루, 주방, 욕실, 마당으로 구성되어 있다. 전통을 유지하면서도 현대적 시설을 접목하여 투숙객이 한옥의 아름다움과 생활의 편리함을 모두 느낄 수 있도록 했다. 서까래가 드리운 대청마루에 소파를 두고, 창에 유리를 덧대 보온 효과를 높이는 식이다. 대청과 이어진 주방에서는 간단한 요리를 할 수 있다. 식기는 물론, 와인 잔까지 구비한 센스가 돋보인다.   내용 더보",#가족여행에좋은#개별독채가있는#바비큐장이있는#서울숙소#서울종로구#서울추천숙소#서울품질인증숙소#서울한옥스테이(jnpstay)#숙박#숙소#우수숙소#인증숙소#추천숙박#추천숙소#품질인증게스트하우스#품질인증숙소#품질인증한옥#한국관광품질인증#한국관광품질인증업소 ,"<div class=""area_txtView bottom on"" style=""padding-bottom: 54px;"">
<div class=""inr_wrap"" style=""overflow: hidden; height: 150px;"">
<div class=""inr"">
<ul><li><strong>문의 및 안내</strong><span class=""mo""><a href=""tel:0507-1309-6800"">0507-1309-6800</a></span><span class=""pc"">0507-1309-6800</span></li><li><strong>홈페이지</strong><span><a href=""http://www.instagram.com/jnpstay_insta"" target=""_blank"" title=""새창 :서울한옥스테이(jnpstay) 홈페이지로 이동"">www.instagram.com/jnpstay_insta</a></span></li><li><strong>주소</strong><span>서울특별시 종로구 자하문로1나길 7-28</span></li><li><strong>주차</strong><span>가능(계약된 주차장, 1대 무료)</span></li><li><strong>수용인원</strong><span>5명</span></li><li><strong>입실시간</strong><span>16:00</span></li><li><strong>퇴실시간</strong><span>11:00</span></li><li><strong>객실내 취사 여부</strong><span>가능</span></li><li><strong>식음료장</strong><span>없음</span></li><li><strong>픽업서비스</strong><span>불가능</span></li><li><strong>객실수</strong><span>2실</span></li><li><strong>예약안내</strong><span>전화, 홈페이지</span></li><li><strong>예약안내 홈페이지</strong><span><a href=""www.instagram.com/p/COk_3MipQA3/?igshid=14i9wvt5x39ei"" target=""_blank"" title=""새창 :서울한옥스테이 홈페이지로 이동"">www.instagram.com/p/COk_3MipQA3/?igshid=14i9wvt5x39ei</a></span></li><li><strong>객실유형</strong><span>한실</span></li><li><strong>규모</strong><span>단층건물, 대지 면적 106m²</span></li><li><strong>부대시설</strong><span>전통놀이체험(투호, 윷놀이, 제기차기, 딱지치기 등)</span></li></ul>
</div>
</div>
<div class=""cont_more""><button class=""btn_more"" title=""내용더보기"" type=""button""><span>닫기</span></button></div>
</div>"
