,여행지,주소,상세페이지,이미지주소,위도 경도
0,동두천자연휴양림,동두천시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0138a8ef-f507-4162-accd-64a33f65f187,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa84626f-fc37-4413-ba88-3846cf270a93,"37.8899416896, 127.1371750523"
1,한탄강주상절리길,포천시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fbbb24e9-5d4b-497e-88cf-9fd5efb4f20a,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ecf8011-3234-4329-bfec-5f254fdada0f,"38.0798348747, 127.2169316606"
2,여강길,여주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ee0c4df9-52cf-4bce-9ba5-e305a1cedf71,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=639b9529-1c97-48e1-b1d4-63c37612e547,"37.2803744564, 127.6425772523"
3,잣향기푸른숲,가평군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=054833a5-5989-4b6e-81ef-e983d3ad93cd,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=327aae1e-fd82-4519-b61c-e103c0e356a1,"37.7707592092, 127.336560307"
4,바람새마을 소풍정원,평택시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=12e2d0aa-f9e1-4f62-966e-bbcf359bc810,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7d0c07e-473f-4b38-8c5c-21c2078a8128,"36.9924036898, 127.1127110263"
5,평화누리공원,파주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=197e6e5e-b111-4561-9edc-2579205d9151,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=913e6488-2996-4fcb-b171-7d55af2acbda,"37.8895929015, 126.7402002968"
6,행주산성역사공원,고양시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6b57ccdd-4fb8-43ec-b89b-b607a41546e2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a3f2147c-ea65-4e94-85ab-5abd04a2bc57,"37.5982699389, 126.8197596027"
7,갯골생태공원,시흥시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9aa7f780-1032-43b1-aa9d-12c26b5df4a2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=402e9b7b-4cd0-44a0-b453-6da3aa5a57a4,"37.3897740365, 126.7812383963"
8,김포 평화누리길 1코스,김포시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a231057b-2633-4550-997b-1d39bf526bd3,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed3783ca-f296-435c-9598-87d1aafc9790,"37.6414599468, 126.5397617595"
9,곤지암 리조트 힐링캠퍼스,광주시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6a61f74a-9c2c-4784-bc05-a9dc5f933e31,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b238fb75-c45e-442b-823d-36ef15df72fd,"37.3374836915, 127.2922239974"
